2020-09-28 14:32:05,606|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/cach-canh-sat-my-trien-khai-doi-hinh-tran-ap-nguoi-gay-roi-4167344.html
2020-09-28 14:32:05,653|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/toi-pham-my-phai-dong-thue-tren-thu-nhap-bat-chinh-4167449.html
2020-09-28 14:32:05,731|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/gian-lan-khi-bom-xang-bi-phat-the-nao-4166677.html
2020-09-28 14:32:05,778|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/song-bac-200-nguoi-o-sai-gon-hoat-dong-the-nao-4167765.html
2020-09-28 14:32:05,856|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/lua-dao-tien-mua-kim-cuong-trong-game-4167720.html
2020-09-28 14:32:05,888|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/tu-hinh-ke-giet-cha-vo-4167711.html
2020-09-28 14:32:05,950|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/canh-sat-anh-bi-nghi-pham-ban-chet-trong-don-4167701.html
2020-09-28 14:32:06,149|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/gan-100-nam-nu-phe-ma-tuy-trong-quan-karaoke-4167676.html
2020-09-28 14:32:06,180|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/trong-hon-300-cay-can-sa-giua-vuon-cam-4167587.html
2020-09-28 14:32:06,258|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/chu-tich-cong-ty-hoa-thang-nam-khang-cao-keu-oan-4167408.html
2020-09-28 14:32:06,304|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/dap-pha-xe-may-cua-nguoi-can-ngan-4167483.html
2020-09-28 14:32:06,335|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/chu-quan-bat-khach-quy-xin-loi-duoc-nan-nhan-xin-giam-an-4167571.html
2020-09-28 14:32:06,367|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/phat-hien-thi-the-nu-giao-vien-mat-tich-4167463.html
2020-09-28 14:32:06,398|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/200-nguoi-danh-bac-o-sai-gon-bi-vay-bat-4167460.html
2020-09-28 14:32:06,438|INFO|                  pipelines.py|                            process_item|  38| success index crawl data from https://vnexpress.net/nguyen-giam-doc-benh-vien-bach-mai-bi-bat-4167456.html
